company_id,company_name,industry,annual_revenue,employee_count,country,created_date,owner_id
36,Zenith Architecture,Architecture,3300000,110,France,2023-06-19,104
37,SoundWave Audio,Electronics,16000000,750,Germany,2023-07-25,102
38,UrbanEdge Properties,Real Estate,29000000,800,USA,2023-08-16,103
39,SilverScreen Cinemas,Entertainment,21000000,1500,UK,2023-09-11,104
40,FirstBridge Capital,Venture Capital,50000000,150,USA,2023-10-07,103
41,NetWeavers ISP,Internet,14000000,450,Netherlands,2023-11-09,101
42,Heritage Bank,Banking,150000000,8000,Belgium,2024-01-12,101
43,FastTrack Couriers,Logistics,10500000,900,Germany,2024-02-08,102
44,CloudNine Hosting,Web Services,7800000,250,USA,2024-03-14,103
45,PharmaSafe Distribution,Logistics,19000000,700,France,2024-04-22,104
46,Cognitive Learning Co.,E-Learning,5200000,200,UK,2023-02-05,104
47,Titan Heavy Machinery,Machinery,58000000,2800,Germany,2023-03-25,102
48,The Daily Chronicle,Newspaper,9200000,600,USA,2023-04-19,103
49,Alpha Investments,Investment Management,42000000,400,UK,2023-05-08,104
50,ConnectSphere Social,Social Media,33000000,1000,USA,2023-06-03,103
51,Fusion Power Corp,Energy,72000000,3500,France,2023-07-02,104
52,EcoBuild Materials,Construction,6400000,300,Netherlands,2023-08-21,101
53,Precision Diagnostics,Medical Devices,23000000,850,Germany,2023-09-18,102
54,The Gourmet Pantry,Specialty Foods,3800000,150,Belgium,2023-10-12,101
55,Stellar Space Systems,Aerospace,110000000,4800,USA,2023-11-02,103
56,Insight Analytics,Business Intelligence,17500000,500,Netherlands,2024-01-08,101
57,Momentum Fitness,Health & Wellness,8800000,600,USA,2024-02-25,103
58,AquaMarine Fisheries,Fishery,12500000,900,France,2024-03-17,104
59,PrintPerfect Solutions,Printing,5900000,280,Germany,2024-04-09,102
60,Regal Hotels Group,Hospitality,48000000,3200,UK,2023-02-11,104
61,Catalyst Chemicals,Chemicals,67000000,3100,Germany,2023-03-08,102
62,VirtuLearn Platforms,EdTech,11000000,350,USA,2023-04-21,103
63,TerraCycle Solutions,Waste Management,24000000,1300,Netherlands,2023-05-18,101
64,ChronoWatch Co.,Luxury Goods,18500000,450,Belgium,2023-06-27,101
65,BioSphere Genetics,Biotechnology,90000000,4200,USA,2023-07-16,103
66,ProTune Automotive,Automotive Repair,4500000,200,Germany,2023-08-28,102
67,HomeFront Insurance,Insurance,62000000,2500,UK,2023-09-22,104
68,LeisureCraft Boats,Marine,15500000,650,France,2023-10-25,104
69,PixelPoint Digital,Digital Agency,3900000,130,Netherlands,2023-11-18,101
70,Unity Legal Firm,Legal,10000000,400,USA,2024-01-15,103
71,Nova Renewables,Renewable Energy,41000000,1800,Germany,2024-02-12,102
72,Foresight AI,Artificial Intelligence,29000000,180,USA,2024-03-28,103
73,The Vineyard Collective,Winery,7200000,320,France,2024-04-16,104
74,StoneBridge Asset Mgmt,Asset Management,38000000,350,UK,2023-02-15,104
75,ByteBurst Games,Mobile Gaming,26500000,700,Netherlands,2023-03-04,101
76,HelioTronics,Solar Panels,34000000,1500,Germany,2023-04-01,102
77,Summit Sports Gear,Sporting Goods,19000000,950,USA,2023-05-11,103
78,Maritime Cargo Inc.,Freight,47000000,2400,Belgium,2023-06-08,101
79,Global Med Supplies,Medical Supplies,31000000,1100,USA,2023-07-20,103
80,Artisan Bakery Co.,Food Production,2800000,140,France,2023-08-14,104
81,CyberGuardian Security,Cybersecurity,22500000,750,Netherlands,2023-09-07,101
82,Atlantic Airlines,Aviation,250000000,12000,USA,2023-10-02,103
83,Precision Agriculture,AgriTech,13500000,400,Netherlands,2023-11-28,101
84,GenieLogix,Software,9800000,300,USA,2024-01-28,103
85,Med-Response,Emergency Services,18000000,900,Germany,2024-02-20,102
86,Dynamic Drones,Drones,16000000,450,USA,2024-03-05,103
87,The London Brew,Beverages,5500000,250,UK,2024-04-01,104
88,Continental Textiles,Textiles,29000000,1600,Belgium,2023-02-28,101
89,Visionary VR,Virtual Reality,21000000,550,USA,2023-04-25,103
90,North Sea Drilling,Oil & Gas,180000000,7000,Netherlands,2023-06-14,101
91,Parisian Perfumes,Cosmetics,14000000,600,France,2023-08-04,104
92,Alpine Adventures,Tourism,8200000,400,Germany,2023-09-30,102
93,Masterpiece Furniture,Furniture,11500000,500,Belgium,2023-11-21,101
94,The Quantum Chip,Semiconductors,95000000,4000,USA,2024-01-18,103
95,Green Planet Foods,Health Foods,17000000,800,Netherlands,2024-03-11,101
96,Rhine River Cruises,Travel,12000000,550,Germany,2024-04-29,102
97,Britannia Legal,Law Firm,22000000,900,UK,2023-05-02,104
98,Stateside Logistics,Logistics,33000000,1700,USA,2023-07-09,103
99,EuroGrow Agriculture,Agriculture,9000000,450,Belgium,2023-10-21,101
100,Amsterdam Tech Hub,Co-working,3500000,100,Netherlands,2024-05-15,101
